iter	Passed	Remaining
0	133	133167
1	134	67277
2	136	45329
3	137	34352
4	140	27871
5	141	23501
6	144	20441
7	145	18079
8	147	16222
9	148	14743
10	150	13505
11	151	12495
12	153	11671
13	155	10960
14	157	10356
15	159	9784
16	160	9285
17	161	8833
18	163	8430
19	164	8073
20	166	7763
21	168	7500
22	170	7248
23	172	7021
24	173	6785
25	175	6568
26	176	6364
27	177	6178
28	179	6011
29	181	5863
30	182	5716
31	185	5596
32	187	5483
33	188	5358
34	190	5238
35	191	5125
36	192	5023
37	194	4932
38	197	4858
39	199	4782
40	200	4696
41	202	4609
42	203	4526
43	204	4445
44	205	4369
45	207	4297
46	208	4236
47	210	4177
48	212	4127
49	214	4084
50	216	4028
51	217	3974
52	219	3918
53	220	3865
54	222	3816
55	223	3773
56	225	3731
57	227	3693
58	228	3651
59	230	3610
60	232	3577
61	233	3538
62	235	3496
63	236	3457
64	238	3424
65	240	3398
66	241	3366
67	243	3333
68	244	3298
69	245	3263
70	246	3230
71	248	3199
72	249	3168
73	250	3138
74	252	3112
75	254	3093
76	256	3077
77	258	3053
78	259	3026
79	260	3000
80	262	2974
81	263	2949
82	264	2918
83	265	2894
84	267	2874
85	269	2863
86	271	2849
87	272	2828
88	274	2806
89	275	2784
90	276	2763
91	277	2742
92	279	2722
93	280	2704
94	282	2687
95	284	2680
96	286	2670
97	288	2652
98	289	2634
99	290	2617
100	292	2600
101	293	2584
102	294	2566
103	296	2553
104	298	2541
105	299	2529
106	302	2521
107	303	2505
108	304	2490
109	306	2477
110	307	2462
111	308	2447
112	310	2435
113	312	2425
114	313	2414
115	315	2408
116	317	2394
117	318	2383
118	320	2374
119	322	2364
120	323	2351
121	325	2339
122	327	2332
123	328	2323
124	331	2317
125	332	2305
126	333	2291
127	334	2279
128	335	2268
129	337	2256
130	338	2245
131	339	2234
132	341	2226
133	343	2222
134	345	2216
135	347	2205
136	348	2194
137	349	2183
138	350	2173
139	352	2162
140	353	2154
141	354	2143
142	356	2138
143	358	2133
144	361	2129
145	363	2123
146	364	2114
147	365	2105
148	367	2097
149	369	2093
150	372	2092
151	373	2086
152	376	2084
153	378	2077
154	379	2071
155	381	2064
156	383	2056
157	384	2050
158	386	2046
159	388	2040
160	389	2031
161	391	2024
162	392	2015
163	393	2007
164	395	2000
165	396	1992
166	397	1984
167	399	1978
168	401	1972
169	403	1969
170	404	1962
171	406	1956
172	408	1952
173	409	1944
174	410	1937
175	412	1930
176	414	1926
177	416	1922
178	418	1918
179	419	1911
180	421	1905
181	422	1898
182	423	1891
183	424	1884
184	426	1877
185	427	1871
186	429	1867
187	431	1864
188	433	1861
189	435	1856
190	436	1849
191	437	1842
192	439	1836
193	440	1829
194	441	1823
195	443	1818
196	445	1816
197	447	1810
198	448	1807
199	450	1800
200	451	1794
201	452	1788
202	454	1782
203	455	1776
204	456	1770
205	458	1765
206	460	1764
207	462	1761
208	464	1756
209	465	1750
210	466	1745
211	468	1740
212	469	1734
213	470	1728
214	472	1724
215	473	1720
216	475	1715
217	477	1713
218	479	1710
219	480	1704
220	482	1699
221	483	1693
222	484	1688
223	486	1683
224	487	1679
225	489	1677
226	491	1675
227	493	1670
228	495	1667
229	497	1664
230	498	1660
231	500	1655
232	502	1652
233	503	1648
234	505	1643
235	507	1641
236	508	1637
237	511	1636
238	512	1632
239	514	1628
240	515	1623
241	517	1621
242	519	1618
243	521	1617
244	523	1613
245	525	1609
246	526	1604
247	527	1600
248	529	1596
249	530	1592
250	532	1589
251	535	1590
252	537	1586
253	539	1583
254	541	1581
255	542	1577
256	544	1573
257	545	1569
258	548	1569
259	550	1566
260	552	1564
261	553	1560
262	555	1556
263	556	1552
264	558	1548
265	559	1543
266	561	1542
267	563	1539
268	565	1537
269	567	1534
270	568	1530
271	570	1526
272	571	1522
273	572	1517
274	573	1513
275	576	1511
276	578	1509
277	580	1506
278	582	1504
279	584	1502
280	585	1497
281	586	1493
282	588	1489
283	589	1486
284	592	1486
285	594	1484
286	596	1481
287	597	1478
288	599	1474
289	600	1470
290	601	1466
291	603	1462
292	605	1461
293	607	1459
294	609	1456
295	611	1454
296	613	1451
297	614	1447
298	615	1443
299	616	1439
300	618	1436
301	621	1436
302	623	1434
303	625	1432
304	627	1429
305	628	1426
306	630	1422
307	631	1419
308	632	1415
309	635	1414
310	637	1412
311	639	1410
312	641	1407
313	642	1404
314	644	1400
315	645	1397
316	646	1393
317	648	1390
318	651	1390
319	652	1387
320	654	1385
321	656	1381
322	657	1378
323	658	1374
324	660	1371
325	661	1367
326	663	1365
327	665	1363
328	667	1360
329	668	1357
330	670	1354
331	671	1350
332	672	1347
333	673	1343
334	675	1340
335	676	1337
336	679	1336
337	680	1333
338	682	1331
339	684	1328
340	686	1325
341	687	1322
342	688	1318
343	689	1315
344	691	1311
345	693	1310
346	694	1307
347	696	1305
348	698	1302
349	699	1299
350	700	1296
351	702	1292
352	703	1289
353	704	1285
354	705	1282
355	708	1281
356	709	1278
357	711	1276
358	713	1273
359	714	1270
360	715	1267
361	717	1263
362	718	1260
363	719	1257
364	721	1255
365	723	1253
366	725	1251
367	728	1250
368	730	1248
369	732	1246
370	734	1244
371	735	1242
372	738	1242
373	740	1240
374	743	1238
375	744	1235
376	745	1232
377	747	1229
378	748	1226
379	749	1223
380	751	1220
381	753	1219
382	755	1216
383	757	1214
384	758	1211
385	759	1208
386	761	1205
387	762	1202
388	763	1199
389	764	1196
390	766	1194
391	768	1192
392	770	1189
393	771	1187
394	773	1184
395	774	1181
396	775	1178
397	777	1175
398	778	1172
399	779	1169
400	782	1168
401	783	1166
402	786	1164
403	787	1161
404	789	1159
405	790	1156
406	791	1153
407	793	1150
408	794	1147
409	796	1145
410	797	1143
411	799	1140
